failed,final_x_m,final_z_m,impulse_n_s,max_qbar_pa,miss_distance_m,run,success,time_of_flight_s
False,4016.13424369318,-423.0777174171634,13513.05679264192,91524.43363801927,196.2315286990127,0,True,12.850000000000048
False,4010.6561306930525,-483.30307466975785,12910.187037050679,81518.78459050623,227.6480207495325,1,True,13.350000000000055
False,4001.1401988048765,-504.1176611064204,11617.548889293214,76700.35757410714,235.3507386478483,2,False,13.70000000000006
False,4006.5941248693025,-387.84072477762095,13480.51051209224,90654.54124447383,178.55735466350993,3,True,12.650000000000045
False,4008.6434007000203,-427.20710346692147,13026.406776187972,84033.84015862389,199.7006371808566,4,True,13.00000000000005
False,4002.1011233466206,-425.5224788583149,13546.27392492095,91673.25979380513,205.17026710989956,5,True,12.650000000000045
False,4015.279184149662,-417.74363711743615,13123.947644216727,82519.67648420512,195.42903554912937,6,True,12.850000000000048
False,4000.4009034661353,-475.2635348287298,12177.841608404855,80514.73500715084,224.25477584174828,7,True,13.400000000000055
False,4006.5201957551853,-443.9017118979057,12733.92591490872,85511.3724585015,206.79932943809848,8,True,13.200000000000053
False,4008.733034810109,-439.4194593587411,12869.370785114153,81985.81107249043,208.64480656698072,9,True,12.900000000000048
False,4015.3861841419193,-490.56619271439644,12126.22841409145,75634.47223193667,230.84101487073633,10,False,13.450000000000056
False,4015.4399922527505,-449.7186181332123,13021.459705751155,85936.60245959299,210.03216971937118,11,True,13.150000000000052
False,4014.351652828723,-447.43984554601576,12729.50763875745,84118.36731503431,206.05201925454534,12,True,13.150000000000052
False,4000.2076436815664,-445.95684826616684,12693.382183010275,82616.08368018469,208.73926791067592,13,True,13.05000000000005
False,4010.5262293145856,-478.52016537612263,12139.46127497085,79795.72821125934,220.5225033183633,14,True,13.550000000000058
False,4009.008910997535,-479.328182671207,12244.365610892948,76060.22928116331,222.69923278911816,15,True,13.500000000000057
False,4009.093203518297,-514.0920336407647,11832.469774893661,75481.42667887852,242.81909408434498,16,False,13.70000000000006
False,4009.616661353377,-426.88490866290726,13783.481183228634,94241.68410185509,204.15006701668142,17,True,12.650000000000045
False,4017.0620558465234,-415.24474889535725,13620.389174898564,91848.60612885769,194.0340476198883,18,True,12.700000000000045
False,4007.597966208107,-529.2505698571081,11974.859671629245,78046.4675473642,249.3133633360144,19,False,13.75000000000006
False,4016.5917323689864,-386.0931846142571,14329.0,100685.74445332875,186.58321989885474,20,True,12.200000000000038
False,4005.969050601226,-389.4828617606775,13512.767299382716,92119.36045076218,180.5617164236025,21,True,12.550000000000043
False,4012.3172339180146,-518.3255870796405,12266.010827536582,77215.919899567,242.0718631176658,22,False,13.75000000000006
False,4013.1773104639424,-405.55841744383537,13317.474470738183,85961.33430360653,185.1752764142076,23,True,12.850000000000048
False,4006.62607708346,-451.7161074267514,12739.807264027499,81737.7968703782,209.84828787004628,24,True,13.250000000000053
False,4016.4756132340217,-449.8655859375117,12839.539053598686,85887.93938851407,209.0034365747525,25,True,13.05000000000005
False,4004.3463512447133,-429.7421595203281,12993.4453168347,84338.31266091607,201.54366250464975,26,True,12.950000000000049
False,4002.524785431507,-464.620814926797,12105.572768169328,84391.08911477106,218.53444798594296,27,True,13.300000000000054
False,4015.785840831809,-456.4743351481955,12812.433591702005,85940.81085600822,213.96949687681732,28,True,13.150000000000052
False,4006.913360523614,-414.05189678523317,13607.743256688971,91117.87408363917,192.23078336869028,29,True,12.750000000000046
False,4010.9337434959307,-399.8229040335319,14294.541134929801,94384.78443474203,189.41475934900157,30,True,12.450000000000042
False,4011.236867130794,-463.7297648673721,12473.136426356148,80617.68470569991,217.06690636657777,31,True,13.250000000000053
False,4003.048338300157,-422.2478928944363,13128.191281559062,90488.25113785971,202.48042735145356,32,True,12.750000000000046
False,4001.5141163242815,-435.7854819144979,13009.092705740768,86428.1266506393,205.70747616440565,33,True,12.950000000000049
False,4013.636780042735,-429.5206480890616,13600.382973692727,88661.21683706439,201.84484156411452,34,True,12.850000000000048
False,4014.2755777255916,-458.6503948624164,13338.755415710559,87542.32474752243,216.68429148807658,35,True,13.00000000000005
False,4016.0449725165454,-436.82326451720957,12597.301680116127,83240.707658132,206.2479551891466,36,True,12.850000000000048
False,4002.2273340604484,-475.775891310081,12475.637407713059,78259.3313936934,223.8112652027343,37,True,13.400000000000055
False,4002.9377707129083,-447.314528752934,13654.400585469637,88465.5904825448,214.359215419267,38,True,12.850000000000048
False,4005.0262666630306,-476.33582074822846,12987.011619825302,83827.6771632776,224.6486964876637,39,True,13.250000000000053
False,4013.238934879164,-508.02244039861404,12145.241190439696,78296.11483402297,237.9669000950091,40,False,13.70000000000006
False,4011.8710885343835,-478.3368737069429,12436.52023307242,80277.92521441971,221.95541207382368,41,True,13.450000000000056
False,4006.612316870902,-488.914939460123,12253.176457521366,82366.07168573781,232.7070122688534,42,False,13.200000000000053
False,4009.730597544602,-458.44063894423135,12851.674805780662,84227.93636055992,215.25777383205997,43,True,13.200000000000053
False,4000.3188507442133,-449.4426461612878,13499.041413703824,88850.64667436291,208.78665472775504,44,True,13.200000000000053
False,4002.037462073586,-522.5997199865893,11896.255212073822,76352.00877975018,242.78520768638467,45,False,13.850000000000062
False,4008.3557400024797,-451.73966424184925,12902.936659391193,83639.39586425218,212.6264943449472,46,True,13.00000000000005
False,4008.7778587233124,-458.3593878158585,12573.325979055446,82057.06962933422,213.12897113436318,47,True,13.300000000000054
False,4016.5165601917506,-453.20837761627524,12543.081643328062,81418.99911275621,211.42931993541407,48,True,13.100000000000051
False,4005.876420713253,-519.3874186736865,11075.723310915717,72577.63177845189,240.83395563725213,49,False,13.850000000000062
False,4000.2410451196038,-512.1368741328846,11914.950398004717,76180.21244434766,238.9002843631133,50,False,13.70000000000006
False,4013.665502671375,-400.6435870487108,13713.110430486548,90101.94241937206,188.07519820670606,51,True,12.550000000000043
False,4003.5878599476573,-453.9041953468281,12234.581840584642,79257.78106485518,212.93504051973014,52,True,13.100000000000051
False,4001.969055108185,-427.9118502429619,13554.368837451004,87998.55989971674,204.49910906654947,53,True,12.800000000000047
False,4004.4397089380104,-377.8868305296732,14329.0,95472.72696905996,177.88752012294646,54,True,12.450000000000042
False,4008.721387831178,-550.9999128384109,11398.646021430732,68950.28087357292,258.0731919200964,55,False,14.000000000000064
False,4006.9128704548243,-446.43236246665737,12678.408043046262,83558.0699467664,209.5352302272033,56,True,13.05000000000005
False,4007.490349492294,-455.25504266868455,12562.32485775467,84401.7846663737,212.47190071899385,57,True,13.150000000000052
False,4015.0491407033614,-437.7865665033443,12831.562547879825,86281.75751696958,201.6052087755974,58,True,13.05000000000005
False,4009.445920048146,-470.0830385589032,12642.105928845085,80003.00195182578,218.66858574378048,59,True,13.350000000000055
False,4007.3234007468473,-495.04192755175086,11902.910535068231,74594.34490769777,229.87636035581906,60,True,13.550000000000058
False,4006.94778379217,-434.45543798699435,12818.573485784267,87364.47295286605,204.73680082892895,61,True,12.900000000000048
False,4016.0036137303346,-475.8006833218386,13180.716599507738,81174.85935536973,223.1382065675285,62,True,13.250000000000053
False,4004.1658092344446,-425.99620936898356,13041.166744410812,83455.3800279612,198.24248461686668,63,True,13.05000000000005
False,4010.224829336776,-415.35818292280425,13192.88544074117,86148.50281483549,194.5054507573577,64,True,12.800000000000047
False,4014.5934184014536,-494.3285513114598,11805.827955555598,75982.43194503004,227.86126341401,65,True,13.70000000000006
False,4008.567732149199,-446.2675766278009,12923.604261836868,84168.84738004826,205.38721709347735,66,True,13.200000000000053
False,4012.7664440620747,-530.4059635330025,11307.376408007036,72848.40342259704,245.86483136318014,67,False,13.950000000000063
False,4008.9570518846085,-495.51178543885396,12251.24164972648,77047.82325352699,229.56033540464378,68,True,13.600000000000058
False,4002.3305951171765,-520.5689225567468,11623.435145752275,71518.80208975477,241.9961822233412,69,False,13.950000000000063
False,4001.341060491115,-405.35488880529624,12913.80825568273,90768.40858710157,185.3029970187229,70,True,12.950000000000049
False,4006.3352539708585,-369.61226555415817,14317.273296749881,98651.64634540914,172.7711722172368,71,True,12.250000000000039
False,4001.53815196814,-455.5954401586662,12431.88150386512,81414.81978667279,217.21854526254143,72,True,13.100000000000051
False,4009.8347830894145,-482.1839861794603,12346.097435575233,80916.36723056684,226.87881514791965,73,True,13.400000000000055
False,4009.4670314544865,-548.563383365862,11163.01537334993,70031.37511994469,251.0895715264817,74,False,14.300000000000068
False,4005.457862433978,-487.88937732753146,11720.442104632115,74707.21277136804,227.98881965732895,75,True,13.550000000000058
False,4004.299590603991,-448.0325071097152,12473.351282041061,83373.27286279049,208.9890228018857,76,True,13.250000000000053
False,4014.180093358167,-449.72572282739964,12808.750925927681,80149.3953159588,204.70927699701633,77,True,13.400000000000055
False,4005.3766724108914,-445.8365809174508,13007.323436930685,88386.29908661773,210.1963868721511,78,True,12.950000000000049
False,4002.5063608278324,-488.3916937737333,12172.426010181383,76317.42082806282,227.97057382741968,79,True,13.550000000000058
False,4015.6837068070495,-477.6737460322583,12652.10266675918,78712.3194237648,220.82687434011254,80,True,13.450000000000056
False,4005.716236728485,-447.14821843908436,12694.148470168255,83400.01939097344,212.07501886102312,81,True,13.05000000000005
False,4010.291760336526,-489.9641981871856,12014.01621739681,78394.25117830155,227.97431833850302,82,True,13.500000000000057
False,4007.489910202115,-460.94535049878306,12987.90579984645,82002.81434092745,217.5159633212133,83,True,13.150000000000052
False,4000.7201765209766,-483.9845529346554,11933.860686547048,75305.46653810475,224.05382409746446,84,True,13.650000000000059
False,4001.0339833089415,-566.5397252605103,11485.48701766877,70821.3670982188,268.0524325870359,85,False,14.050000000000065
False,4012.86679174761,-392.1979281604412,13953.778754333964,96683.4673707782,184.28595158344308,86,True,12.400000000000041
False,4004.2930878824773,-514.3225955833027,11977.027463937156,76766.0249313823,243.83468440817222,87,False,13.650000000000059
False,4001.9567790500682,-453.5819190063036,13211.848652192362,83343.25932799546,213.1371218651979,88,True,13.150000000000052
False,4012.406582825312,-446.80494921543135,12914.368134822422,88992.77427995949,205.51377346178234,89,True,13.200000000000053
False,4001.1190144967813,-390.6008178740876,13341.279001286064,87938.03450550068,183.63706698586657,90,True,12.550000000000043
False,4013.102741179885,-496.68858232298976,11704.598707873449,75158.03359686585,231.89467927387483,91,False,13.500000000000057
False,4001.7824057139806,-453.69348402752377,12400.892277605824,75862.43053102272,212.05459025011234,92,True,13.300000000000054
False,4014.966296419611,-483.3566541050934,13083.557070266772,83271.45380072645,228.9471526307391,93,True,13.250000000000053
False,4006.9463318066914,-573.906901063607,10626.0,65199.36127205504,268.10406668657714,94,False,14.300000000000068
