case,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,crossrange_error_m,downrange_error_m,drag_cd,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,ground_violation_m,guidance_gain,integrated_control_effort,load_violation_g,mass_kg,miss_violation_m,mission_model,qbar_violation_pa,sensor_noise_m,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n,wind_x_mps,wind_z_mps
0,True,none,15.138401007984982,50.93876789986095,149061.23210013905,4.60708529708614,9.249999999999996,17112.5,0.0,1.3442108460944837,0.16,False,3001.3442108460945,0.0,-15.078603459200147,5.010416666666053,15.078603459200147,1.65,0.4870192467797,0.0,39.5,0.0,point_mass,0.0,0.0,-15.078603459200147,-9.193905212106383,504.931377528549,1850.0,-18.0,-5.0
1,True,none,14.770922900933348,51.17671199730053,148823.28800269947,4.60685517276103,9.249999999999996,17112.5,-1.236445928140473,1.2402708649833585,0.16,False,3001.2402708649834,-1.236445928140473,-14.666734230685968,5.010416666666053,14.666734230685968,1.65,0.6386878404517801,0.0,39.5,0.0,point_mass,0.0,18.0,-14.666734230685968,-9.130239527138103,503.81836249558563,1850.0,-18.0,-5.0
2,False,ground_intercept,273.0137064950323,-43.013706495032295,138416.08694716872,4.616499989520902,8.699999999999989,16095.0,0.0,-273.00385441332446,0.16,True,2726.9961455866755,0.0,-2.319355432867942,4.712499999999423,2.319355432867942,2.85,0.5312015701259618,0.0,39.5,43.013706495032295,point_mass,0.0,0.0,-2.319355432867942,-8.527870085351571,486.2431927524684,1850.0,-18.0,-5.0
3,False,ground_intercept,273.00510161515666,-43.00510161515666,138448.5507310602,4.616698656315109,8.699999999999989,16095.0,1.5532447153537619,-272.99173706338615,0.16,True,2727.008262936614,1.5532447153537619,-2.2100755351933086,4.712499999999423,2.2100755351933086,2.85,0.5326164306792129,0.0,39.5,43.00510161515666,point_mass,0.0,18.0,-2.2100755351933086,-8.68537517915716,486.358874284667,1850.0,-18.0,-5.0
4,False,ground_intercept,258.79694824366067,-28.796948243660665,113704.32780291217,4.428795943927005,9.149999999999995,16927.5,0.0,-258.7969440650254,0.32,True,2741.2030559349746,0.0,-0.046506301527502014,4.956249999999393,0.046506301527502014,1.65,0.44698891224373444,0.0,39.5,28.796948243660665,point_mass,0.0,0.0,-0.046506301527502014,-9.433066316842625,438.79909347432596,1850.0,-18.0,-5.0
5,False,ground_intercept,259.1673695960612,-29.167369596061178,113722.86185860686,4.429203876607466,9.149999999999995,16927.5,0.9595496381921624,-259.1557021316039,0.32,True,2740.844297868396,0.9595496381921624,-2.264239498949985,4.956249999999393,2.264239498949985,1.65,0.4556057871838838,0.0,39.5,29.167369596061178,point_mass,0.0,18.0,-2.264239498949985,-9.558587144498759,438.7975595620826,1850.0,-18.0,-5.0
6,False,ground_intercept,413.8436725843609,-183.8436725843609,109620.24935113403,4.447233907417253,8.79999999999999,16280.0,0.0,-413.8344233687103,0.32,True,2586.1655766312897,0.0,-2.76683450873665,4.766666666666083,2.76683450873665,2.85,0.5344268627345701,0.0,39.5,183.8436725843609,point_mass,0.0,0.0,-2.76683450873665,-8.732480127199741,430.41666265239826,1850.0,-18.0,-5.0
7,False,ground_intercept,435.1658635072443,-205.1658635072443,109052.5078363756,4.447309886515923,8.74999999999999,16187.5,-0.9639402907829139,-435.16471439937186,0.32,True,2564.835285600628,-0.9639402907829139,-0.2663134139974481,4.739583333332753,0.2663134139974481,2.85,0.5380735814686021,0.0,39.5,205.1658635072443,point_mass,0.0,18.0,-0.2663134139974481,-8.787897445414629,429.334396040157,1850.0,-18.0,-5.0
8,True,none,5.130720123328528,1.003291055316193,198996.7089446838,6.410613760503469,8.14999999999998,20782.5,0.0,-0.48347796289863254,0.16,False,2999.5165220371014,0.0,5.1078897837874,4.414583333332793,0.0,1.65,0.37478489440434515,0.0,39.5,0.0,point_mass,0.0,0.0,5.1078897837874,-8.641518926595092,586.95991576597,2550.0,-18.0,-5.0
9,True,none,4.2163365289288315,1.0661756153300812,198933.82438466992,6.41073682867389,8.14999999999998,20782.5,-1.6420565313727933,-0.788268618454822,0.16,False,2999.211731381545,-1.6420565313727933,3.802601301492822,4.414583333332793,0.0,1.65,0.40723565469013484,0.0,39.5,0.0,point_mass,0.0,18.0,3.802601301492822,-8.490615974492947,586.698752081808,2550.0,-18.0,-5.0
10,True,none,23.445291692457868,0.2389784100394463,199761.02158996055,10.187776466279185,10.20000000000001,26010.0,0.0,-5.400688172087939,0.16,False,4011.7509656042052,0.0,-137.5943289453236,5.524999999999324,137.5943289453236,2.85,8.594513072189203,0.0,39.5,0.0,point_mass,0.0,0.0,-137.5943289453236,-7.4324025187967235,402.79763707527854,2550.0,-18.0,-5.0
11,True,none,24.784047491204763,0.4499248202886374,199550.07517971136,10.20961516464607,10.20000000000001,26010.0,-1.8078508342377018,-5.736198628233524,0.16,False,4007.571286490845,25.342533715629703,-155.39931305189268,5.524999999999324,155.39931305189268,2.85,8.692171293619392,0.0,39.5,0.0,point_mass,0.0,18.0,-155.39931305189268,-8.39474417728279,402.3332827017874,2550.0,-18.0,-5.0
12,True,none,17.837323304649264,39.20553402620164,160794.46597379836,6.226297843445818,8.549999999999986,21802.5,0.0,-4.654983052227635,0.32,False,2995.3450169477724,0.0,-17.219211232169062,4.631249999999433,17.219211232169062,1.65,0.40538072024440064,0.0,39.5,0.0,point_mass,0.0,0.0,-17.219211232169062,-8.203728965691242,524.534137141471,2550.0,-18.0,-5.0
13,True,none,18.09835193455172,39.347905780512285,160652.0942194877,6.2257684053724995,8.549999999999986,21802.5,-0.8215717318053293,-4.813055278776574,0.32,False,2995.1869447212234,-0.8215717318053293,-17.427273496443192,4.631249999999433,17.427273496443192,1.65,0.4456652666380392,0.0,39.5,0.0,point_mass,0.0,18.0,-17.427273496443192,-8.326291523341018,524.2339557757451,2550.0,-18.0,-5.0
14,False,ground_intercept,290.6300501391225,-60.63005013912249,151351.54337573933,6.242900913433285,7.99999999999998,20400.0,0.0,-290.61361041296686,0.32,True,2709.386389587033,0.0,-3.0911950131262094,4.333333333332803,3.0911950131262094,2.85,0.431193762421141,0.0,39.5,60.63005013912249,point_mass,0.0,0.0,-3.0911950131262094,-7.574400006741146,508.78180284307535,2550.0,-18.0,-5.0
15,False,ground_intercept,290.6927265174351,-60.69272651743512,151314.8019939414,6.243444407707812,7.99999999999998,20400.0,1.7343378771113442,-290.6789125929504,0.32,True,2709.3210874070496,1.7343378771113442,-2.2412264607300387,4.333333333332803,2.2412264607300387,2.85,0.4422174150011943,0.0,39.5,60.69272651743512,point_mass,0.0,18.0,-2.2412264607300387,-7.543688657771778,508.70519407540263,2550.0,-18.0,-5.0
16,True,none,22.60558210074364,64.9758212303143,135024.1787696857,4.044998562641254,9.650000000000002,17852.5,0.0,-11.230827948148544,0.16,False,2988.7691720518515,0.0,-19.618380302984924,5.227083333332693,19.618380302984924,1.65,0.5320283671772622,0.0,45.0,0.0,point_mass,0.0,0.0,-19.618380302984924,-9.593224177713038,479.7475267767335,1850.0,-18.0,-5.0
17,True,none,22.32895313556073,64.96456909168377,135035.43090831622,4.044502920428275,9.650000000000002,17852.5,1.1276417415603357,-11.279435007234497,0.16,False,2988.7205649927655,1.1276417415603357,-19.237591277244952,5.227083333332693,19.237591277244952,1.65,0.5317515732809184,0.0,45.0,0.0,point_mass,0.0,18.0,-19.237591277244952,-9.684596374984805,479.9435329758045,1850.0,-18.0,-5.0
18,False,ground_intercept,317.656716415908,-87.65671641590802,124022.78407902231,4.053222040635956,8.999999999999993,16650.0,0.0,-317.6567142169306,0.16,True,2682.3432857830694,0.0,-0.037376996470730006,4.874999999999403,0.037376996470730006,2.85,0.5762806160865936,0.0,45.0,87.65671641590802,point_mass,0.0,0.0,-0.037376996470730006,-9.018262744687835,459.4475720487424,1850.0,-18.0,-5.0
19,False,ground_intercept,317.7620250776932,-87.76202507769318,124000.60659478976,4.0533715446202825,8.999999999999993,16650.0,0.0514677754193755,-317.76193542194005,0.16,True,2682.23806457806,0.0514677754193755,-0.23308678083567447,4.874999999999403,0.23308678083567447,2.85,0.5927418844765908,0.0,45.0,87.76202507769318,point_mass,0.0,18.0,-0.23308678083567447,-9.010082131221655,459.3402089633357,1850.0,-18.0,-5.0
